id,created_at,is_active,store,name,name_it,name_en,min_shipping_time,max_shipping_time,price,currency,min_price_shipping_condition,shipping_zone,is_vat_included
9,2021-11-30 12:39:07.785332+00:00,True,CostruzioneDroni (https://www.costruzionedroni.it/),Standard Shipping,Spedizione Standard,Standard Shipping,2,5,8.00,EUR,,,True
10,2021-11-30 12:39:07.788679+00:00,True,CostruzioneDroni (https://www.costruzionedroni.it/),Express Shipping,Spedizione Express,Express Shipping,1,2,9.90,EUR,,,True
12,2021-11-30 12:39:07.795806+00:00,True,PersonalDrones (https://www.personaldrones.it/),Standard Shipping,Spedizione Standard,Standard Shipping,1,2,6.90,EUR,,,True
2,2021-12-03 15:46:24.547570+00:00,True,RHobbyFPV (https://www.rhobbyfpv.it/),Free Shipping,Spedizione Gratuita,Free Shipping,1,,,EUR,199.00,,True
11,2021-12-03 15:46:38.809342+00:00,True,PersonalDrones (https://www.personaldrones.it/),Free Shipping,Spedizione Gratuita,Free Shipping,1,2,,EUR,100.00,,True
32,2021-12-11 15:30:50.999436+00:00,True,GetFPV (https://www.getfpv.com/),Free Shipping,Spedizione Gratuita,Free Shipping,1,2,,USD,80.00,USA,True
8,2021-12-03 15:47:34.686525+00:00,True,CostruzioneDroni (https://www.costruzionedroni.it/),Free Shipping,Spedizione Gratuita,Free Shipping,1,,,EUR,199.00,,True
6,2021-12-03 15:47:42.155977+00:00,True,Drone24Hours (https://www.drone24hours.com/),Free Shipping,Spedizione Gratuita,Free Shipping,1,,,EUR,149.00,,True
5,2021-12-03 15:47:54.530787+00:00,True,FarinFrames (https://www.farinsframes.com/),Free Shipping,Spedizione Gratuita,Free Shipping,1,,,EUR,200.00,,True
13,2021-12-10 07:02:43.024445+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 1,DHL Express - Zona 1,DHL Express - Zone 1,1,,10.60,EUR,,DroneFPVRacer - DHL Express - Zone 1,False
14,2021-12-10 07:02:49.752396+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 1,DHL Express - Zona 1,DHL Express - Zone 1,1,,5.60,EUR,79.00,DroneFPVRacer - DHL Express - Zone 1,False
16,2021-12-10 07:03:02.303851+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 2,DHL Express - Zona 2,DHL Express - Zone 2,1,,11.18,EUR,,DroneFPVRacer - DHL Express - Zone 2,False
17,2021-12-10 07:03:11.627172+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 2,DHL Express - Zona 2,DHL Express - Zone 2,1,,6.18,EUR,79.00,DroneFPVRacer - DHL Express - Zone 2,False
20,2021-12-10 07:05:56.503252+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 3,DHL Express - Zona 3,DHL Express - Zone 3,1,,6.54,EUR,79.00,DroneFPVRacer - DHL Express - Zone 3,False
21,2021-12-10 07:13:08.136345+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),Free Shipping - Zone 3,Spedizione Gratuita - Zona 3,Free Shipping - Zone 3,1,,,EUR,200.00,DroneFPVRacer - DHL Express - Zone 3,False
18,2021-12-10 07:13:41.860419+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),Free Shipping - Zone 2,Spedizione Gratuita - Zona 2,Free Shipping - Zone 2,1,,,EUR,200.00,DroneFPVRacer - DHL Express - Zone 2,False
15,2021-12-10 07:14:16.283997+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),Free Shipping - Zone 1,Spedizione Gratuita - Zona 1,Free Shipping - Zone 1,1,,,EUR,200.00,DroneFPVRacer - DHL Express - Zone 1,False
7,2021-12-10 07:15:29.627340+00:00,True,Drone24Hours (https://www.drone24hours.com/),DHL Express,DHL Express,DHL Express,1,,9.99,EUR,,,True
4,2021-12-10 07:15:42.127383+00:00,True,FarinFrames (https://www.farinsframes.com/),DHL Express,DHL Express,DHL Express,1,,9.90,EUR,,,True
3,2021-12-10 07:16:31.244873+00:00,True,FarinFrames (https://www.farinsframes.com/),DHL Express,DHL Express,DHL Express,1,,4.90,EUR,49.00,,True
1,2021-12-10 07:16:39.996515+00:00,True,RHobbyFPV (https://www.rhobbyfpv.it/),SDA/DHL Express,SDA/DHL Express,SDA/DHL Express,1,2,10.00,EUR,,,True
19,2021-12-10 08:14:37.320262+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 3,DHL Express - Zona 3,DHL Express - Zone 3,1,,11.54,EUR,,DroneFPVRacer - DHL Express - Zone 3,False
22,2021-12-10 08:16:20.546511+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 4,DHL Express - Zona 4,DHL Express - Zone 4,2,,16.94,EUR,,DroneFPVRacer - DHL Express - Zone 4,False
23,2021-12-10 08:19:17.550527+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 4,DHL Express - Zona 4,DHL Express - Zone 4,2,,11.94,EUR,79.00,DroneFPVRacer - DHL Express - Zone 4,False
24,2021-12-10 08:19:52.829127+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),DHL Express - Zone 4,DHL Express - Zona 4,DHL Express - Zone 4,2,,6.94,EUR,200.00,DroneFPVRacer - DHL Express - Zone 4,False
33,2021-12-11 15:35:27.928136+00:00,True,GetFPV (https://www.getfpv.com/),DHL Worldwide,DHL Internazionale,DHL Worldwide,2,3,36.43,USD,,,True
26,2021-12-10 19:40:08.691912+00:00,True,BetaFPV (https://betafpv.com/),Standard Shipping,Spedizione Standard,Standard Shipping,12,30,10.00,USD,,,True
27,2021-12-10 19:40:15.831523+00:00,True,BetaFPV (https://betafpv.com/),Standard Shipping,Spedizione Standard,Standard Shipping,12,30,5.00,USD,20.00,,True
34,2021-12-11 15:36:35.699856+00:00,True,GetFPV (https://www.getfpv.com/),Economy Shipping Worldwide,Spedizione economica internazionale,Economy Shipping Worldwide,7,30,18.00,USD,,,True
29,2021-12-10 19:43:35.269016+00:00,True,BetaFPV (https://betafpv.com/),Expedited Shipping,Spedizione Veloce,Expedited Shipping,3,7,25.00,USD,,,True
30,2021-12-10 20:13:46.540554+00:00,True,HGLRC (https://www.hglrc.com/),DHL Express,DHL Express,DHL Express,3,8,29.95,USD,,,True
31,2021-12-10 20:14:25.686851+00:00,True,HGLRC (https://www.hglrc.com/),Free Shipping,Spedizione Gratuita,Free Shipping,3,8,,USD,119.00,,True
28,2021-12-10 20:42:36.457266+00:00,True,BetaFPV (https://betafpv.com/),Free Shipping,Spedizione Gratuita,Free Shipping,12,30,,USD,99.00,,True
25,2021-12-10 20:43:43.773319+00:00,True,Drone FPV Racer (https://www.drone-fpv-racer.com/),Free Shipping - Zone 4,Spedizione Gratuita - Zona 4,Free Shipping - Zone 4,2,,,EUR,300.00,DroneFPVRacer - DHL Express - Zone 4,False
35,2021-12-11 20:26:40.240650+00:00,True,Rotor Riot (https://rotorriot.com/),Free Shipping,Spedizione Gratuita,Free Shipping,1,,,USD,50.00,USA,True
36,2021-12-11 20:30:26.261547+00:00,True,Rotor Riot (https://rotorriot.com/),USPS Worldwide,USPS Internazionale,USPS Worldwide,6,30,20.07,USD,,,True
37,2021-12-11 20:31:21.608195+00:00,True,Rotor Riot (https://rotorriot.com/),DHL Worldwide,DHL Internazionale,DHL Worldwide,3,8,31.75,USD,,,True
